,Unnamed: 0,trial,stimulus,prime,prime_affect,word,word_affect,responsetime,accuracy
942,942,943,11,PH2,positive,relax,positive,325,1
943,943,944,52,NL1,negative,arrest,negative,663,1
944,944,945,4,PH1,positive,comfy,positive,436,1
945,945,946,6,PH1,positive,arrest,negative,440,1
946,946,947,28,PL2,positive,payday,positive,414,1
947,947,948,61,NL2,negative,relax,positive,565,1
948,948,949,56,NL1,negative,payday,positive,518,1
949,949,950,37,NH1,negative,excite,positive,419,1
950,950,951,2,PH1,positive,payday,positive,305,2
951,951,952,25,PL2,positive,relax,positive,422,1
952,952,953,14,PH2,positive,arrest,negative,340,2
953,953,954,19,PL1,positive,excite,positive,564,1
954,954,955,26,PL2,positive,comfy,positive,506,1
955,955,956,38,NH1,negative,payday,positive,461,1
956,956,957,15,PH2,positive,morgue,negative,564,1
957,957,958,23,PL1,positive,fatal,negative,682,1
958,958,959,41,NH2,negative,fatal,negative,726,1
959,959,960,15,PH2,positive,morgue,negative,748,1
960,960,961,54,NL1,negative,comfy,positive,728,1
961,961,962,55,NL1,negative,excite,positive,764,1
962,962,963,27,PL2,positive,excite,positive,543,1
963,963,964,51,NL1,negative,fatal,negative,705,1
964,964,965,45,NH2,negative,excite,positive,637,1
965,965,966,5,PH1,positive,fatal,negative,600,1
966,966,967,4,PH1,positive,comfy,positive,634,1
967,967,968,21,PL1,positive,morgue,negative,659,1
968,968,969,58,NL2,negative,dismal,negative,748,1
969,969,970,30,PL2,positive,dismal,negative,594,1
970,970,971,50,NL1,negative,dismal,negative,645,1
971,971,972,16,PH2,positive,dismal,negative,565,1
972,972,973,62,NL2,negative,comfy,positive,632,1
973,973,974,22,PL1,positive,dismal,negative,632,1
974,974,975,43,NH2,negative,morgue,negative,608,1
975,975,976,38,NH1,negative,payday,positive,810,1
976,976,977,63,NL2,negative,excite,positive,572,1
977,977,978,59,NL2,negative,fatal,negative,575,1
978,978,979,20,PL1,positive,payday,positive,525,1
979,979,980,61,NL2,negative,relax,positive,727,1
980,980,981,40,NH1,negative,comfy,positive,482,1
981,981,982,17,PL1,positive,relax,positive,547,1
982,982,983,34,NH1,negative,arrest,negative,821,1
983,983,984,28,PL2,positive,payday,positive,840,1
984,984,985,2,PH1,positive,payday,positive,569,1
985,985,986,13,PH2,positive,fatal,negative,566,1
986,986,987,57,NL2,negative,morgue,negative,641,1
987,987,988,9,PH2,positive,excite,positive,644,1
988,988,989,7,PH1,positive,morgue,negative,692,1
989,989,990,52,NL1,negative,arrest,negative,733,1
990,990,991,33,NH1,negative,fatal,negative,624,1
991,991,992,47,NH2,negative,relax,positive,750,1
992,992,993,49,NL1,negative,morgue,negative,704,1
993,993,994,1,PH1,positive,excite,positive,574,1
994,994,995,18,PL1,positive,comfy,positive,665,1
995,995,996,48,NH2,negative,comfy,positive,526,1
996,996,997,19,PL1,positive,excite,positive,623,1
997,997,998,39,NH1,negative,relax,positive,632,1
998,998,999,14,PH2,positive,arrest,negative,649,1
999,999,1000,53,NL1,negative,relax,positive,536,1
1000,1000,1001,12,PH2,positive,comfy,positive,557,1
1001,1001,1002,64,NL2,negative,payday,positive,692,1
1002,1002,1003,46,NH2,negative,payday,positive,538,1
1003,1003,1004,10,PH2,positive,payday,positive,383,1
1004,1004,1005,3,PH1,positive,relax,positive,670,1
1005,1005,1006,11,PH2,positive,relax,positive,496,1
1006,1006,1007,44,NH2,negative,dismal,negative,826,1
1007,1007,1008,36,NH1,negative,dismal,negative,608,1
1008,1008,1009,29,PL2,positive,morgue,negative,651,1
1009,1009,1010,6,PH1,positive,arrest,negative,755,1
1010,1010,1011,25,PL2,positive,relax,positive,687,1
1011,1011,1012,35,NH1,negative,morgue,negative,604,1
1012,1012,1013,26,PL2,positive,comfy,positive,562,1
1013,1013,1014,32,PL2,positive,arrest,negative,621,1
1014,1014,1015,37,NH1,negative,excite,positive,575,1
1015,1015,1016,8,PH1,positive,dismal,negative,562,1
1016,1016,1017,24,PL1,positive,arrest,negative,573,1
1017,1017,1018,49,NL1,negative,morgue,negative,632,1
1018,1018,1019,64,NL2,negative,payday,positive,633,1
1019,1019,1020,22,PL1,positive,dismal,negative,573,1
1020,1020,1021,62,NL2,negative,comfy,positive,525,1
1021,1021,1022,20,PL1,positive,payday,positive,572,1
1022,1022,1023,35,NH1,negative,morgue,negative,608,1
1023,1023,1024,12,PH2,positive,comfy,positive,515,1
1024,1024,1025,47,NH2,negative,relax,positive,630,1
1025,1025,1026,45,NH2,negative,excite,positive,570,2
1026,1026,1027,31,PL2,positive,fatal,negative,575,1
1027,1027,1028,30,PL2,positive,dismal,negative,686,1
1028,1028,1029,39,NH1,negative,relax,positive,530,1
1029,1029,1030,59,NL2,negative,fatal,negative,626,1
1030,1030,1031,14,PH2,positive,arrest,negative,599,1
1031,1031,1032,40,NH1,negative,comfy,positive,556,1
1032,1032,1033,60,NL2,negative,arrest,negative,573,1
1033,1033,1034,16,PH2,positive,dismal,negative,584,1
1034,1034,1035,7,PH1,positive,morgue,negative,574,1
1035,1035,1036,29,PL2,positive,morgue,negative,684,1
1036,1036,1037,55,NL1,negative,excite,positive,667,1
1037,1037,1038,43,NH2,negative,morgue,negative,543,1
1038,1038,1039,54,NL1,negative,comfy,positive,587,1
1039,1039,1040,44,NH2,negative,dismal,negative,560,1
1040,1040,1041,3,PH1,positive,relax,positive,613,1
1041,1041,1042,21,PL1,positive,morgue,negative,542,1
1042,1042,1043,1,PH1,positive,excite,positive,613,1
1043,1043,1044,46,NH2,negative,payday,positive,558,1
1044,1044,1045,32,PL2,positive,arrest,negative,544,1
1045,1045,1046,18,PL1,positive,comfy,positive,667,1
1046,1046,1047,56,NL1,negative,payday,positive,602,1
1047,1047,1048,50,NL1,negative,dismal,negative,481,1
1048,1048,1049,23,PL1,positive,fatal,negative,642,1
1049,1049,1050,19,PL1,positive,excite,positive,686,1
1050,1050,1051,28,PL2,positive,payday,positive,544,1
1051,1051,1052,26,PL2,positive,comfy,positive,499,1
1052,1052,1053,15,PH2,positive,morgue,negative,546,1
1053,1053,1054,10,PH2,positive,payday,positive,541,1
1054,1054,1055,11,PH2,positive,relax,positive,629,1
1055,1055,1056,48,NH2,negative,comfy,positive,487,1
1056,1056,1057,27,PL2,positive,excite,positive,591,1
1057,1057,1058,38,NH1,negative,payday,positive,514,1
1058,1058,1059,33,NH1,negative,fatal,negative,606,1
1059,1059,1060,8,PH1,positive,dismal,negative,512,1
1060,1060,1061,25,PL2,positive,relax,positive,616,1
1061,1061,1062,4,PH1,positive,comfy,positive,486,1
1062,1062,1063,52,NL1,negative,arrest,negative,586,1
1063,1063,1064,5,PH1,positive,fatal,negative,722,1
1064,1064,1065,57,NL2,negative,morgue,negative,571,1
1065,1065,1066,53,NL1,negative,relax,positive,641,1
1066,1066,1067,9,PH2,positive,excite,positive,555,1
1067,1067,1068,51,NL1,negative,fatal,negative,622,1
1068,1068,1069,2,PH1,positive,payday,positive,530,1
1069,1069,1070,63,NL2,negative,excite,positive,630,2
1070,1070,1071,37,NH1,negative,excite,positive,672,1
1071,1071,1072,36,NH1,negative,dismal,negative,572,1
1072,1072,1073,34,NH1,negative,arrest,negative,573,1
1073,1073,1074,58,NL2,negative,dismal,negative,458,1
1074,1074,1075,41,NH2,negative,fatal,negative,717,1
1075,1075,1076,17,PL1,positive,relax,positive,546,1
1076,1076,1077,42,NH2,negative,arrest,negative,540,1
1077,1077,1078,24,PL1,positive,arrest,negative,429,1
1078,1078,1079,6,PH1,positive,arrest,negative,457,1
1079,1079,1080,13,PH2,positive,fatal,negative,670,1
1080,1080,1081,61,NL2,negative,relax,positive,660,1
1081,1081,1082,39,NH1,negative,relax,positive,359,2
1082,1082,1083,41,NH2,negative,fatal,negative,566,1
1083,1083,1084,62,NL2,negative,comfy,positive,545,1
1084,1084,1085,25,PL2,positive,relax,positive,669,1
1085,1085,1086,27,PL2,positive,excite,positive,719,1
1086,1086,1087,29,PL2,positive,morgue,negative,705,1
1087,1087,1088,10,PH2,positive,payday,positive,849,1
1088,1088,1089,5,PH1,positive,fatal,negative,578,1
1089,1089,1090,38,NH1,negative,payday,positive,884,1
1090,1090,1091,64,NL2,negative,payday,positive,820,1
1091,1091,1092,28,PL2,positive,payday,positive,509,1
1092,1092,1093,23,PL1,positive,fatal,negative,803,1
1093,1093,1094,57,NL2,negative,morgue,negative,520,1
1094,1094,1095,21,PL1,positive,morgue,negative,446,1
