,Unnamed: 0,trial,stimulus,prime,prime_affect,word,word_affect,responsetime,accuracy
1318,1318,1319,11,PH2,positive,relax,positive,606,1
1319,1319,1320,40,NH1,negative,comfy,positive,538,1
1320,1320,1321,32,PL2,positive,arrest,negative,600,1
1321,1321,1322,47,NH2,negative,relax,positive,610,1
1322,1322,1323,28,PL2,positive,payday,positive,710,1
1323,1323,1324,1,PH1,positive,excite,positive,583,1
1324,1324,1325,15,PH2,positive,morgue,negative,526,1
1325,1325,1326,44,NH2,negative,dismal,negative,538,1
1326,1326,1327,30,PL2,positive,dismal,negative,533,1
1327,1327,1328,62,NL2,negative,comfy,positive,601,1
1328,1328,1329,17,PL1,positive,relax,positive,626,1
1329,1329,1330,36,NH1,negative,dismal,negative,551,1
1330,1330,1331,6,PH1,positive,arrest,negative,636,1
1331,1331,1332,46,NH2,negative,payday,positive,644,1
1332,1332,1333,45,NH2,negative,excite,positive,484,1
1333,1333,1334,42,NH2,negative,arrest,negative,618,1
1334,1334,1335,33,NH1,negative,fatal,negative,499,1
1335,1335,1336,59,NL2,negative,fatal,negative,509,1
1336,1336,1337,26,PL2,positive,comfy,positive,590,1
1337,1337,1338,54,NL1,negative,comfy,positive,555,1
