Frequency of A note,Condition,Response,Frequency Difference
1760.0,2,2,0.1
1760.0,1,1,0.1
1760.0,2,2,0.1
1760.0,1,2,0.1
1760.0,2,2,0.1
1760.0,2,2,0.1
1760.0,1,1,0.07071067811865475
1760.0,2,2,0.07071067811865475
1760.0,1,2,0.049999999999999996
1760.0,1,2,0.07071067811865475
1760.0,2,2,0.1
1760.0,2,2,0.1
1760.0,1,2,0.07071067811865475
1760.0,1,2,0.1
1760.0,2,2,0.14142135623730953
1760.0,2,2,0.14142135623730953
1760.0,2,2,0.1
1760.0,1,1,0.1
1760.0,1,2,0.07071067811865475
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
